,L,B,RA,DEC,Galactic_Index
92,161.19999999999987,47.19999999999999,147.0981321738466,54.03030463240157,272
93,179.59999999999985,50.59999999999999,147.77122325811993,41.51081781121659,321
94,174.99999999999986,50.59999999999999,148.37928758807092,44.39601287456256,309
95,156.59999999999988,47.19999999999999,149.23213595452222,56.912099424731224,260
96,170.39999999999986,50.59999999999999,149.31199680117376,47.24207939676413,297
97,147.3999999999999,43.79999999999999,149.48854899267917,64.19427983173821,235
98,165.79999999999987,50.59999999999999,150.62176707671492,50.03023895668677,285
99,151.9999999999999,47.19999999999999,152.04383190586088,59.666239372083744,248
100,179.59999999999985,53.999999999999986,152.24813524316644,41.02194717183602,322
101,161.19999999999987,50.59999999999999,152.37237272843768,52.737621820759635,273
102,174.99999999999986,53.999999999999986,152.99933076243116,43.66769146411633,310
103,133.5999999999999,36.99999999999999,153.1056792670256,76.63295188370472,197
104,138.1999999999999,40.39999999999999,153.1914567975355,71.6899116779423,210
105,170.39999999999986,53.999999999999986,154.06553023415498,46.263718376278064,298
106,142.7999999999999,43.79999999999999,154.18689156809367,66.88655583939078,223
107,156.59999999999988,50.59999999999999,154.63964288305957,55.336003947797074,261
108,128.99999999999991,33.599999999999994,155.38231554488635,81.67951244228033,184
109,165.79999999999987,53.999999999999986,155.48900318508856,48.790546534700105,286
110,147.3999999999999,47.19999999999999,155.67952734548234,62.246266758546135,236
111,179.59999999999985,57.399999999999984,156.6477520576706,40.3627100616376,323
112,161.19999999999987,53.999999999999986,157.31812525567534,51.225148550581075,274
113,174.99999999999986,57.399999999999984,157.4951246966964,42.75812925775916,311
114,151.9999999999999,50.59999999999999,157.5102480250855,57.79032713931594,249
115,170.39999999999986,57.399999999999984,158.63670538757623,45.09569545527346,299
116,156.59999999999988,53.999999999999986,159.60617652431438,53.54017109894025,262
117,165.79999999999987,57.399999999999984,160.10382221566977,47.35628875098008,287
118,142.7999999999999,47.19999999999999,160.30052730768557,64.59137904441451,224
119,138.1999999999999,43.79999999999999,160.373561403863,69.27530605486683,211
120,147.3999999999999,50.59999999999999,161.07646465569385,60.05717576961396,237
121,161.19999999999987,57.399999999999984,161.92989054784297,49.51801444097867,275
122,133.5999999999999,40.39999999999999,161.96153054971592,74.06585058327332,198
123,151.9999999999999,53.999999999999986,162.40822538035135,55.703192637655135,250
124,156.59999999999988,57.399999999999984,164.148506176699,51.55583982284303,263
125,142.7999999999999,50.59999999999999,165.4236865547577,62.08367271505079,225
126,147.3999999999999,53.999999999999986,165.7749680051858,57.67623151088649,238
127,138.1999999999999,47.19999999999999,166.05480394467037,66.62393818276719,212
128,151.9999999999999,57.399999999999984,166.79016673003665,53.44138629170619,251
129,128.99999999999991,36.99999999999999,166.91016665202596,78.87587275651089,185
130,133.5999999999999,43.79999999999999,168.3146113326812,71.23779260655314,199
131,142.7999999999999,53.999999999999986,169.74235608281876,59.415878801439774,226
132,147.3999999999999,57.399999999999984,169.87723132434732,55.143038954363725,239
133,124.39999999999992,30.199999999999996,170.4570957180398,86.66920315079774,171
134,138.1999999999999,50.59999999999999,170.60703887109452,63.80773332795295,213
135,133.5999999999999,47.19999999999999,173.01709544861967,68.25039574772823,200
136,142.7999999999999,57.399999999999984,173.41699391639327,56.62659408688301,227
137,128.99999999999991,40.39999999999999,173.6859672801915,75.81153168481379,186
138,138.1999999999999,53.999999999999986,174.3165977976767,60.87460291856237,214
139,133.5999999999999,50.59999999999999,176.61606264596523,65.161151088739,201
140,138.1999999999999,57.399999999999984,177.39341403455938,57.85668563438428,215
141,128.99999999999991,43.79999999999999,178.05744790724722,72.62389194533453,187
142,133.5999999999999,53.999999999999986,179.4563573242499,62.003824537177955,202
143,128.99999999999991,47.19999999999999,181.0971090608473,69.37005010445613,188
144,133.5999999999999,57.399999999999984,181.75916949872376,58.79915312631866,203
145,124.39999999999992,33.599999999999994,182.15043879679203,83.40571785369424,172
146,128.99999999999991,50.59999999999999,183.33523460454606,66.0770266679272,189
147,128.99999999999991,53.999999999999986,185.05780701570723,62.759051421952904,190
148,124.39999999999992,36.99999999999999,186.0583725126065,80.05058406707198,173
149,128.99999999999991,57.399999999999984,186.4309359671529,59.42427176626301,191
150,124.39999999999992,40.39999999999999,188.00412646061017,76.67284196120909,174
151,124.39999999999992,43.79999999999999,189.1729499189335,73.28619403661818,175
152,124.39999999999992,47.19999999999999,189.956730987802,69.8951416024591,176
153,124.39999999999992,50.59999999999999,190.52204807459972,66.50159278850188,177
154,124.39999999999992,53.999999999999986,190.9516433312329,63.10649403434044,178
